TRIP_MASTER_ID,GUEST_UNIQUE_ID,PROPERTY_CD,MARKET_CD,TRIP_TYPE,TRIP_START_DT,TRIP_END_DT,DELETE_IND,CREATED_DTTM,CREATED_BY,UPDATED_DTTM,UPDATED_BY,BATCH_ID,REPLAY_COUNTER,LAST_DML_CD,TRIP_DETAIL_ID,TRIP_MASTER_ID,TRANSACTION_TABLE_SK,TRANSACTION_TABLE,TRANSACTION_TYPE,TRANSACTION_SUB_TYPE,TRANSACTION_START_DTTM,TRANSACTION_END_DTTM,BUSINESS_START_DT,BUSINESS_END_DT,TRANSACTION_MODIFIED_DTTM,DELETE_IND,CREATED_DTTM,CREATED_BY,UPDATED_DTTM,UPDATED_BY,BATCH_ID,REPLAY_COUNTER,LAST_DML_CD,PROPERTY_CD
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28678815342,1175754686,3762072100,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,15-02-2022,15-02-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,TAH
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28740861616,1175754686,3317613437,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,11-03-2022,11-03-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,TRW
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28649645825,1175754686,3670851307,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,01-03-2022,01-03-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,HLT
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28818020886,1175754686,3658598718,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,25-02-2022,25-02-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,TAH
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28604695641,1175754686,3862036528,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,25-02-2022,25-02-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,HLT
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28556667438,1175754686,3788227208,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,19-02-2022,19-02-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,HLT
1392316061,11701190456,TAH,N/A,PROPERTY,24-02-2022,10-03-2022,N,38:02.3,SYSTEM,38:02.3,SYSTEM,5156136,,I,31081723797,1392316061,3657391556,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,01-03-2022,01-03-2022,27:02.9,N,38:09.3,SYSTEM,38:09.3,SYSTEM,5156136,,I,TAH
1392316061,11701190456,TAH,N/A,PROPERTY,24-02-2022,10-03-2022,N,38:02.3,SYSTEM,38:02.3,SYSTEM,5156136,,I,31058453494,1392316061,3791536389,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,01-03-2022,01-03-2022,27:02.9,N,38:09.3,SYSTEM,38:09.3,SYSTEM,5156136,,I,TAH
1391638031,11701190456,N/A,LTM,MARKET,24-02-2022,11-03-2022,N,38:02.3,SYSTEM,38:02.3,SYSTEM,5156136,,I,31118105055,1391638031,3670851307,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,01-03-2022,01-03-2022,27:02.9,N,38:09.3,SYSTEM,38:09.3,SYSTEM,5156136,,I,HLT
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28841302264,1175754686,3851713673,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,01-03-2022,01-03-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,TAH
1392316061,11701190456,TAH,N/A,PROPERTY,24-02-2022,10-03-2022,N,38:02.3,SYSTEM,38:02.3,SYSTEM,5156136,,I,30999413424,1392316061,3724420893,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,01-03-2022,01-03-2022,27:02.9,N,38:09.3,SYSTEM,38:09.3,SYSTEM,5156136,,I,TAH
1399070739,11701190456,HLT,N/A,PROPERTY,24-02-2022,03-03-2022,N,38:02.3,SYSTEM,38:02.3,SYSTEM,5156136,,I,31178850876,1399070739,3822514256,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,01-03-2022,01-03-2022,27:02.9,N,38:09.3,SYSTEM,38:09.3,SYSTEM,5156136,,I,HLT
1391638031,11701190456,N/A,LTM,MARKET,24-02-2022,11-03-2022,N,38:02.3,SYSTEM,38:02.3,SYSTEM,5156136,,I,31178946296,1391638031,3657391556,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,01-03-2022,01-03-2022,27:02.9,N,38:09.3,SYSTEM,38:09.3,SYSTEM,5156136,,I,TAH
1391638031,11701190456,N/A,LTM,MARKET,24-02-2022,11-03-2022,N,38:02.3,SYSTEM,38:02.3,SYSTEM,5156136,,I,30961659453,1391638031,3791536389,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,01-03-2022,01-03-2022,27:02.9,N,38:09.3,SYSTEM,38:09.3,SYSTEM,5156136,,I,TAH
1391638031,11701190456,N/A,LTM,MARKET,24-02-2022,11-03-2022,N,38:02.3,SYSTEM,38:02.3,SYSTEM,5156136,,I,30989118397,1391638031,3336054981,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,05-03-2022,05-03-2022,27:02.9,N,38:09.3,SYSTEM,38:09.3,SYSTEM,5156136,,I,TAH
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28715262078,1175754686,3673195274,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,05-03-2022,05-03-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,TAH
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28659902085,1175754686,3709152602,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,20-02-2022,20-02-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,HLT
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28645182295,1175754686,3481422750,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,20-02-2022,20-02-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,TRW
1392316061,11701190456,TAH,N/A,PROPERTY,24-02-2022,10-03-2022,N,38:02.3,SYSTEM,38:02.3,SYSTEM,5156136,,I,31176744646,1392316061,3626474481,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,05-03-2022,05-03-2022,27:02.9,N,38:09.3,SYSTEM,38:09.3,SYSTEM,5156136,,I,TAH
1175754686,11701190456,N/A,N/A,ENTERPRISE,14-02-2022,15-03-2022,N,36:37.1,SYSTEM,36:37.1,SYSTEM,5155751,,I,28615746301,1175754686,3626474481,RATINGS_FACT,RATINGS,OPENED,00:00.0,00:00.0,05-03-2022,05-03-2022,27:02.9,N,36:44.0,SYSTEM,36:44.0,SYSTEM,5155751,,I,TAH
